Num,No.,Source,Name,Alternate,Part Of,Lat,Long,Marathi,Marathi Alternate,Type,Nearby Village,Dist,State,Type,Height-Sealevel,Height Bottom,Nearby Village,Dist,State
450,62,SK,Tarapur,None,,72.682071,19.86362,???????,?????,??????????,???????,?????,??????????,Seaside,0,15,Tarapur,Palghar,Maharashtra
533,145,SK,Shirgaon,None,,72.713428,19.696276,??????,?????,??????????,??????,?????,??????????,Seaside,5,10,Shirgaon,Palghar,Maharashtra
444,56,SK,Dahanu,None,,72.720553,19.972557,??????,?????,??????????,??????,?????,??????????,Seaside,15,10,Dahanu,Palghar,Maharashtra
505,117,SK,Mahim-Kelve,None,,72.721158,19.642555,?????-?????,?????,??????????,?????,?????,??????????,Seaside,5,10,Mahim,Palghar,Maharashtra
418,30,SK,Kelve-Pankot,None,,72.726386,19.5989,?????-??????,?????,???????,?????,????,??????????,Island,0,10,Kelve,Thane,Maharashtra
393,5,SK,Arnala,None,,72.7324,19.465783,???????,?????,???????,???????,?????,??????????,Island,0,30,Arnala,Palghar,Maharashtra
69,69,SB,Khanderi,,Constructed,72.813048,18.7042,???????,?????,???????,??,?????,??????????,Island,0,25,Thal,Raigad,Maharashtra
333,99,WS,Vasai,Saint Sebastian,,72.815151,19.330643,???,????? ??????????,??????????,???,?????,??????????,Seaside,0,10,Vasai,Palghar,Maharashtra
403,15,SK,Underi,Jaidurg,,72.841995,18.706751,??????,???????,???????,??,?????,??????????,Island,0,5,Thal,Raigad,Maharashtra
456,68,SK,Thal,Khubladha,,72.856551,18.699383,??,??????,??????????,??,?????,??????????,Seaside,0,5,Thal,Raigad,Maharashtra
464,76,SK,Dharavi-Sion,None,,72.860136,19.050972,??????-???,?????,??????????,??????,????,??????????,Seaside,25,5,Dongri,Thane,Maharashtra
416,28,SK,Kulaba,Alibag,,72.864161,18.634361,??????,??????,???????,???????,?????,??????????,Island,0,15,Shreebag,Raigad,Maharashtra
539,151,SK,Sarjekot-Alibag,None,,72.865583,18.637872,????????-??????,?????,???????,??????,?????,??????????,Island,5,15,Alibag,Raigad,Maharashtra
557,169,SK,Hirakot,None,,72.868982,18.648332,???????,?????,??????????,??????,?????,??????????,Seaside,25,25,Alibag,Raigad,Maharashtra
535,147,SK,Shreevardhangad,None,,72.882185,18.801546,???????????,?????,??????????,??????,?????,??????????,Seaside,75,75,Mandve,Raigad,Maharashtra
268,34,WS,Korlai,Korlai Fort,,72.908192,18.536461,???????,?????,??????????,???????,?????,??????????,Seaside,90,90,Korlai,Raigad,Maharashtra
397,9,SK,Asherigad,None,,72.92188,19.821367,???????,?????,??????,??????,?????,??????????,Mountain,512,350,Khadkavne,Palghar,Maharashtra
400,12,SK,Agarkot,None,,72.927804,18.546592,??????,?????,??????????,???,?????,??????????,Seaside,0,10,Chowl,Raigad,Maharashtra
520,132,SK,Revdanda,None,,72.927804,18.546592,???????,?????,??????????,???????,?????,??????????,Seaside,0,10,Revdanda,Raigad,Maharashtra
473,85,SK,Padmadurg,"Kansa, Pradurg",,72.932535,18.321988,?????????,"?????, ????????",???????,?????,?????,??????????,Island,0,15,Murud,Raigad,Maharashtra
429,41,SK,Gharapuri,Elephanta,,72.934306,18.964111,????????,???????,???????,"?????, ???",?????,??????????,Island,125,125,"Mumbai, Uran",Raigad,Maharashtra
463,75,SK,Dronagiri,None,,72.935781,18.866788,??????????,?????,??????????,??????????,?????,??????????,Seaside,25,40,Dronagiri,Raigad,Maharashtra
515,127,SK,Rajkot-chowl,None,,72.943333,18.553333,??????-???,?????,??????????,???,?????,??????????,Seaside,0,0,Chowl,Raigad,Maharashtra
542,154,SK,Sagargad,Kheddurg,,72.958638,18.65687,??????,????????,??????,??????,?????,??????????,Mountain,415,350,Poinad,Raigad,Maharashtra
543,155,SK,Samrajgad,None,,72.959578,18.314258,????????,?????,??????????,?????,?????,??????????,Seaside,75,75,Murud,Raigad,Maharashtra
267,33,WS,Murud-Janjira,Murud-Janjira Fort,,72.9644331,18.2999036,,,,,,,,,,,,
438,50,SK,Janjira,Jazeer-e-mahroob,,72.964454,18.299936,??????,????-?-?????,???????,"?????, ????",?????,??????????,Island,0,25,"Murud, Dighi",Raigad,Maharashtra
443,55,SK,Thane,None,,72.983208,19.199941,????,?????,??????????,????,????,??????????,Seaside,25,15,Thane,Thane,Maharashtra
490,102,SK,Belapur,None,,73.027198,19.007796,???????,?????,??????????,???????,????,??????????,Seaside,10,10,Belapur,Thane,Maharashtra
489,101,SK,Birwadi,"Chanera, Bhavanigad",,73.041216,18.424603,???????,"??????, ???????",??????,?????,?????,??????????,Mountain,240,100,Chanere,Raigad,Maharashtra
488,100,SK,Bankot,Himmatgad,,73.042399,17.973253,??????,????????,??????????,??????,?????????,??????????,Seaside,25,10,Bankot,Ratnagiri,Maharashtra
550,162,SK,Suvarnadurg,"Suvarnadurga Fort, ??????????? ??????",,73.084445,17.816768,???????????,?????,???????,?????,?????????,??????????,Island,0,25,Harne,Ratnagiri,Maharashtra
406,18,SK,Kanakdurg,None,,73.089166,17.809045,????????,?????,??????????,?????,?????????,??????????,Seaside,10,15,Harne,Ratnagiri,Maharashtra
279,45,WS,Fattegad,Fattegad Fort,,73.089724,17.812151,???????,?????,??????????,?????,?????????,??????????,Seaside,15,15,Harne,Ratnagiri,Maharashtra
427,39,SK,Gova,None,,73.090625,17.815583,????,?????,??????????,?????,?????????,??????????,Seaside,15,15,Harne,Ratnagiri,Maharashtra
430,42,SK,Ghosalgad,None,,73.090864,18.364483,???????,?????,??????,??????,?????,??????????,Mountain,260,200,Ghosale,Raigad,Maharashtra
264,30,WS,Harnai,Harnai Fort,,73.0955493,17.8124827,,,,,,,,,,,,
395,7,SK,Avchitgad,None,,73.118023,18.473895,???????,?????,??????,????,?????,??????????,Mountain,390,300,Roha,Raigad,Maharashtra
459,71,SK,Durgadi,Kalyan,,73.118209,19.245428,????????,??????,??????????,??????,????,??????????,Seaside,25,25,Kalyan,Thane,Maharashtra
408,20,SK,Karnala,None,,73.118348,18.881458,???????,?????,??????,???????,?????,??????????,Mountain,475,400,Karnala,Raigad,Maharashtra
541,153,SK,Sankshi,Badruddin,,73.130949,18.787124,??????,????????,??????,"?????????, ???????",?????,??????????,Mountain,200,150,"Chunabhatti, Nidhivli",Raigad,Maharashtra
449,61,SK,Talgad,None,,73.135475,18.292674,????,?????,??????,???,?????,??????????,Mountain,125,150,Tale,Raigad,Maharashtra
271,37,WS,Gopalgad,Anjanvel,,73.151929,17.571467,???????,???????,??????????,???????,?????????,??????????,Seaside,50,50,Anjanvel,Ratnagiri,Maharashtra
502,114,SK,Malanggad,Shree Malang,,73.17844,19.110532,??????,???? ????,??????,??????,????,??????????,Mountain,540,450,Malanggad,Thane,Maharashtra
275,41,WS,Dabhol,Dabhol Fort,,73.1819057,17.5946634,,,,,,,,,,,,
272,38,WS,Affan,Affan Fort,,73.2197691,17.2942578,,,,,,,,,,,,
439,51,SK,Jaigad,None,,73.221356,17.300842,????,?????,??????????,????,?????????,??????????,Seaside,75,50,Jaigad,Ratnagiri,Maharashtra
246,12,WS,Jaygad,Jaygad,,73.2214737,17.3005753,,,,,,,,,,,,
485,97,SK,Prabalgad,None,,73.226877,18.974265,???????,?????,??????,???????,?????,??????????,Mountain,730,600,Prabalgad,Raigad,Maharashtra
538,150,SK,Sarasgad,None,Karnataka 1,73.227838,18.543143,?????,?????,??????,????,?????,??????????,Mountain,450,325,Pali,Raigad,Maharashtra
402,14,SK,Irshal,Vishalgad,,73.232465,18.934636,????????,???????,??????,??????????,?????,??????????,Mountain,450,350,Irshalwadi,Raigad,Maharashtra
276,42,WS,Panhaldurg,Panhaldurg Fort,,73.2348294,17.6480541,,,,,,,,,,,,
277,43,WS,Pranaldurg,Pranaldurg (Padmanabhdurg) Fort,,73.2423832,17.6430076,,,,,,,,,,,,
